"id_2026","redizo","kkov","zamereni","typ","nazev","obec","stav","id_2025_potvrzene","overil","zdroj_overeni","poznamka"
"600016242_31-43-M/01_31_43_M_01_Odevnictvi","600016242","31-43-M/01","31-43-M/01 Oděvnictví","SOS","Střední škola gastro., oděv. a služeb","Frýdek-Místek","chybi_presna_shoda","","","",""
"600016242_65-41-L/01_65_41_L_01_Gastronomie","600016242","65-41-L/01","65-41-L/01 Gastronomie","SOU","Střední škola gastro., oděv. a služeb","Frýdek-Místek","chybi_presna_shoda","","","",""
"600016242_65-42-M/02_65_42_M_02_Cestovni_ruch","600016242","65-42-M/02","65-42-M/02 Cestovní ruch","SOS","Střední škola gastro., oděv. a služeb","Frýdek-Místek","chybi_presna_shoda","","","",""
"600016242_69-41-L/01_69_41_L_01_Kosmeticke_sluzby","600016242","69-41-L/01","69-41-L/01 Kosmetické služby","SOU","Střední škola gastro., oděv. a služeb","Frýdek-Místek","chybi_presna_shoda","","","",""
"600016307_26-41-L/52","600016307","26-41-L/52","","NAS","Střední škola řemesel","Frýdek-Místek","chybi_presna_shoda","","","",""
"600016307_33-42-L/51","600016307","33-42-L/51","","NAS","Střední škola řemesel","Frýdek-Místek","chybi_presna_shoda","","","",""
"600016358_63-41-M/01_Cestovni_ruch","600016358","63-41-M/01","Cestovní ruch","SOS","PrimMat - Soukr. SŠ podnikatelská s.r.o.","Frýdek-Místek","chybi_presna_shoda","","","",""
"600016358_63-41-M/01_Internetove_sluzby_a_aplikace","600016358","63-41-M/01","Internetové služby a aplikace","SOS","PrimMat - Soukr. SŠ podnikatelská s.r.o.","Frýdek-Místek","chybi_presna_shoda","","","",""
"600016358_63-41-M/01_Pozemni_stavitelstvi","600016358","63-41-M/01","Pozemní stavitelství","SOS","PrimMat - Soukr. SŠ podnikatelská s.r.o.","Frýdek-Místek","chybi_presna_shoda","","","",""
"600016366_79-41-K/41_Business_Management","600016366","79-41-K/41","Business & Management","GY4","Gymnázium EDUCAnet Ostrava s.r.o.","Ostrava","chybi_presna_shoda","","","",""
"600016366_79-41-K/41_Gymnazium","600016366","79-41-K/41","Gymnázium","GY4","Gymnázium EDUCAnet Ostrava s.r.o.","Ostrava","chybi_presna_shoda","","","",""
"600016374_18-20-M/01_Kyberbezpecnost_pocitacovych_siti","600016374","18-20-M/01","Kyberbezpečnost počítačových sítí","SOS","Střední škola inform.technologií, s.r.o.","Frýdek-Místek","chybi_presna_shoda","","","",""
"600016447_79-41-K/41_Jazykove_a_humanitni_gymnazium","600016447","79-41-K/41","Jazykové a humanitní gymnázium","GY4","PRIGO, gymnázium 8leté a 4leté, s.r.o.","Ostrava","chybi_presna_shoda","","","",""
"600016447_79-41-K/41_Lekarske_a_prirodovedne_gymnazium","600016447","79-41-K/41","Lékařské a přírodovědné gymnázium","GY4","PRIGO, gymnázium 8leté a 4leté, s.r.o.","Ostrava","chybi_presna_shoda","","","",""
"600016455_79-41-K/41","600016455","79-41-K/41","","GY4","Gymnázium Fr.Živného","Bohumín","chybi_presna_shoda","","","",""
"600016455_79-41-K/81","600016455","79-41-K/81","","GY8","Gymnázium Fr.Živného","Bohumín","chybi_presna_shoda","","","",""
"600016510_26-41-L/01_Digitalni_technika_a_mechatronika_Elektrikar","600016510","26-41-L/01","Digitální technika a mechatronika (+ Elektrikář)","SOU","Střední škola polytechnická","Havířov","chybi_presna_shoda","","","",""
